SampleKey,rep,fold,view,y_true,y_true_name,y_pred,y_pred_name,correct,rank,cell_idx_in_bag,cell_id,attn_w
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,13,86,20241026S1_Cell42_C,0.0191222745925188
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,14,19,20241026S1_Cell15_B,0.0190377440303564
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,15,28,20241026S1_Cell18_B,0.0185906030237674
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,16,21,20241026S1_Cell16_A,0.0185554679483175
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,17,92,20241026S1_Cell6_C,0.0182939656078815
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,18,3,20241026S1_Cell10_A,0.0167956594377756
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,19,25,20241026S1_Cell17_B,0.0165851879864931
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,20,18,20241026S1_Cell15_A,0.0163906179368495
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,21,90,20241026S1_Cell6_A,0.015821062028408
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,22,6,20241026S1_Cell11_A,0.0153161399066448
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,23,49,20241026S1_Cell24_B,0.0152094531804323
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,24,22,20241026S1_Cell16_B,0.014486039057374
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,25,48,20241026S1_Cell24_A,0.0143635515123605
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,26,4,20241026S1_Cell10_B,0.0141774313524365
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,27,55,20241026S1_Cell26_B,0.0137904360890388
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,28,16,20241026S1_Cell14_B,0.0137438299134373
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,29,37,20241026S1_Cell20_B,0.0132555635645985
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,30,24,20241026S1_Cell17_A,0.0131755881011486
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,31,77,20241026S1_Cell36_C,0.0128340441733598
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,32,70,20241026S1_Cell30_B,0.0119513180106878
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,33,98,20241026S1_Cell8_C,0.0118381436914205
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,34,54,20241026S1_Cell26_A,0.0118013676255941
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,35,34,20241026S1_Cell2_B,0.0117591312155127
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,36,97,20241026S1_Cell8_B,0.0111688720062375
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,37,94,20241026S1_Cell7_B,0.0110306143760681
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,38,2,20241026S1_Cell1_C,0.0110262846574187
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,39,58,20241026S1_Cell27_B,0.0103568797931075
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,40,1,20241026S1_Cell1_B,0.0096596395596861
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,41,36,20241026S1_Cell20_A,0.0095069576054811
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,42,60,20241026S1_Cell28_A,0.0094800973311066
